dataset,model,attack_type,epsilon,acc_mean,acc_std,f1_mean,f1_std,n_samples,n_features
SMS_Spam,RF,Targeted_LF,0.3,0.902422,0.009447,0.829672,0.012997,5572,500
SMS_Spam,GB,Targeted_LF,0.3,0.95426,0.006003,0.900412,0.014211,5572,500
MNIST,LR,Random_LF,0.01,0.869875,0.00561,0.869764,0.005637,8000,784
MNIST,RF,Random_LF,0.01,0.95825,0.001212,0.958248,0.001212,8000,784
MNIST,GB,Random_LF,0.01,0.890125,0.002143,0.890109,0.002143,8000,784
MNIST,LR,Random_LF,0.05,0.8565,0.006899,0.856375,0.006941,8000,784
MNIST,RF,Random_LF,0.05,0.95475,0.002222,0.954747,0.002221,8000,784
MNIST,GB,Random_LF,0.05,0.888,0.002574,0.887972,0.002591,8000,784
MNIST,LR,Random_LF,0.1,0.840875,0.010448,0.840746,0.010533,8000,784
MNIST,RF,Random_LF,0.1,0.95125,0.006435,0.951248,0.006435,8000,784
MNIST,GB,Random_LF,0.1,0.887125,0.003984,0.887088,0.003999,8000,784
MNIST,LR,Random_LF,0.15,0.82725,0.006442,0.827086,0.006597,8000,784
MNIST,RF,Random_LF,0.15,0.9465,0.002391,0.946498,0.002392,8000,784
MNIST,GB,Random_LF,0.15,0.887375,0.006654,0.887321,0.006687,8000,784
MNIST,LR,Random_LF,0.2,0.809375,0.004012,0.809071,0.00381,8000,784
MNIST,RF,Random_LF,0.2,0.932,0.0079,0.931994,0.007902,8000,784
MNIST,GB,Random_LF,0.2,0.886875,0.003236,0.886787,0.003227,8000,784
MNIST,LR,Random_LF,0.25,0.7825,0.004727,0.782045,0.004309,8000,784
MNIST,RF,Random_LF,0.25,0.9105,0.007174,0.91049,0.007181,8000,784
MNIST,GB,Random_LF,0.25,0.88775,0.00632,0.887678,0.006316,8000,784
MNIST,LR,Random_LF,0.3,0.75875,0.0034,0.758217,0.003241,8000,784
MNIST,RF,Random_LF,0.3,0.880625,0.009569,0.880594,0.009605,8000,784
MNIST,GB,Random_LF,0.3,0.877125,0.006574,0.877022,0.006623,8000,784
MNIST,LR,Targeted_LF,0.01,0.87075,0.006255,0.870636,0.006297,8000,784
MNIST,RF,Targeted_LF,0.01,0.958375,0.002151,0.95837,0.002151,8000,784
