Датасет,Модель,Тип атаки,ε (доля),Профиль защиты,F1_base,F1_prot,F1_std,ASR_prot,removal_rate,time_ratio,I_score
Adult,RF,Targeted_LF,0.1000,lf,0.7926,0.7846,0.0058,,0.1000,2.8522,0.2255
Adult,RF,Targeted_LF,0.1500,auto,0.7926,0.7794,0.0100,,0.1500,1.5526,0.4828
Adult,RF,Targeted_LF,0.1500,lf,0.7926,0.7794,0.0100,,0.1500,1.8427,0.4248
Adult,RF,Targeted_LF,0.2000,auto,0.7926,0.7647,0.0091,,0.2000,2.4062,0.3047
Adult,RF,Targeted_LF,0.2000,lf,0.7926,0.7647,0.0091,,0.2000,1.4039,0.5051
Adult,RF,Targeted_LF,0.2500,auto,0.7926,0.7475,0.0069,,0.2500,1.6893,0.4394
Adult,RF,Targeted_LF,0.2500,lf,0.7926,0.7475,0.0069,,0.2500,2.2525,0.3267
Adult,RF,Targeted_LF,0.3000,auto,0.7926,0.7128,0.0080,,0.3000,1.3060,0.4985
Adult,RF,Targeted_LF,0.3000,lf,0.7926,0.7128,0.0080,,0.3000,1.5391,0.4519
MNIST,GB,Backdoor,0.0100,auto,0.9221,0.9171,0.0042,0.867598,0.0100,0.1670,0.4174
MNIST,GB,Backdoor,0.0100,backdoor,0.9221,0.9171,0.0042,0.867598,0.0100,0.1111,0.4286
MNIST,GB,Backdoor,0.0500,auto,0.9221,0.9170,0.0031,0.998221,0.0500,0.0616,0.3862
MNIST,GB,Backdoor,0.0500,backdoor,0.9221,0.9170,0.0031,0.998221,0.0500,0.1081,0.3769
MNIST,GB,Backdoor,0.1000,auto,0.9221,0.9165,0.0034,0.999492,0.1000,-0.0208,0.4019
MNIST,GB,Backdoor,0.1000,backdoor,0.9221,0.9165,0.0034,0.999492,0.1000,0.0025,0.3973
MNIST,GB,Backdoor,0.1500,auto,0.9221,0.9157,0.0027,1.0,0.1500,-0.0615,0.4095
MNIST,GB,Backdoor,0.1500,backdoor,0.9221,0.9157,0.0027,1.0,0.1500,-0.0398,0.4052
MNIST,GB,Backdoor,0.2000,auto,0.9221,0.9157,0.0075,0.999746,0.2000,-0.1141,0.4201
MNIST,GB,Backdoor,0.2000,backdoor,0.9221,0.9157,0.0075,0.999746,0.2000,-0.1458,0.4265
MNIST,GB,Backdoor,0.2500,auto,0.9221,0.9055,0.0068,1.0,0.2500,-0.1730,0.4274
MNIST,GB,Backdoor,0.2500,backdoor,0.9221,0.9055,0.0068,1.0,0.2500,-0.1624,0.4253
MNIST,GB,Backdoor,0.3000,auto,0.9221,0.8995,0.0055,1.0,0.3000,-0.2183,0.4338
MNIST,GB,Backdoor,0.3000,backdoor,0.9221,0.8995,0.0055,1.0,0.3000,-0.2081,0.4318
MNIST,GB,Random_LF,0.0100,auto,0.9221,0.9232,0.0013,,0.0100,0.1707,0.7663
MNIST,GB,Random_LF,0.0100,lf,0.9221,0.9232,0.0013,,0.0100,0.1392,0.7727
MNIST,GB,Random_LF,0.0500,auto,0.9221,0.9260,0.0036,,0.0500,0.0966,0.7824
MNIST,GB,Random_LF,0.0500,lf,0.9221,0.9260,0.0036,,0.0500,0.0804,0.7856
MNIST,GB,Random_LF,0.1000,auto,0.9221,0.9208,0.0059,,0.1000,0.0146,0.7965
MNIST,GB,Random_LF,0.1000,lf,0.9221,0.9208,0.0059,,0.1000,0.0200,0.7955
MNIST,GB,Random_LF,0.1500,auto,0.9221,0.9150,0.0045,,0.1500,-0.0593,0.8088
MNIST,GB,Random_LF,0.1500,lf,0.9221,0.9150,0.0045,,0.1500,-0.0304,0.8030
MNIST,GB,Random_LF,0.2000,auto,0.9221,0.9037,0.0044,,0.2000,-0.0974,0.8115
MNIST,GB,Random_LF,0.2000,lf,0.9221,0.9037,0.0044,,0.2000,-0.0942,0.8108
MNIST,GB,Random_LF,0.2500,auto,0.9221,0.8833,0.0093,,0.2500,-0.1523,0.8136
MNIST,GB,Random_LF,0.2500,lf,0.9221,0.8833,0.0093,,0.2500,-0.1500,0.8131
MNIST,GB,Random_LF,0.3000,auto,0.9221,0.8582,0.0219,,0.3000,-0.2066,0.8136
MNIST,GB,Random_LF,0.3000,lf,0.9221,0.8582,0.0219,,0.3000,-0.2217,0.8166
MNIST,GB,Targeted_LF,0.0100,auto,0.9221,0.9244,0.0039,,0.0100,0.1626,0.7685
MNIST,GB,Targeted_LF,0.0100,lf,0.9221,0.9244,0.0039,,0.0100,0.1319,0.7746
MNIST,GB,Targeted_LF,0.0500,auto,0.9221,0.9222,0.0036,,0.0500,0.1095,0.7781
MNIST,GB,Targeted_LF,0.0500,lf,0.9221,0.9222,0.0036,,0.0500,0.0829,0.7834
MNIST,GB,Targeted_LF,0.1000,auto,0.9221,0.9187,0.0040,,0.1000,0.0230,0.7939
MNIST,GB,Targeted_LF,0.1000,lf,0.9221,0.9187,0.0040,,0.1000,0.0332,0.7919
MNIST,GB,Targeted_LF,0.1500,auto,0.9221,0.9080,0.0066,,0.1500,-0.0368,0.8012
MNIST,GB,Targeted_LF,0.1500,lf,0.9221,0.9080,0.0066,,0.1500,-0.0302,0.7999
MNIST,GB,Targeted_LF,0.2000,auto,0.9221,0.8906,0.0063,,0.2000,-0.1069,0.8077
MNIST,GB,Targeted_LF,0.2000,lf,0.9221,0.8906,0.0063,,0.2000,-0.0944,0.8052
MNIST,GB,Targeted_LF,0.2500,auto,0.9221,0.8624,0.0063,,0.2500,-0.1719,0.8085
MNIST,GB,Targeted_LF,0.2500,lf,0.9221,0.8624,0.0063,,0.2500,-0.1565,0.8054
MNIST,GB,Targeted_LF,0.3000,auto,0.9221,0.8299,0.0133,,0.3000,-0.2112,0.8023
MNIST,GB,Targeted_LF,0.3000,lf,0.9221,0.8299,0.0133,,0.3000,-0.2139,0.8028
MNIST,LR,Backdoor,0.0100,auto,0.8747,0.8737,0.0041,1.0,0.0100,0.4353,0.3125
MNIST,LR,Backdoor,0.0100,backdoor,0.8747,0.8737,0.0041,1.0,0.0100,0.5445,0.2907
MNIST,LR,Backdoor,0.0500,auto,0.8747,0.8691,0.0035,1.0,0.0500,0.6674,0.2640
MNIST,LR,Backdoor,0.0500,backdoor,0.8747,0.8691,0.0035,1.0,0.0500,0.2743,0.3426
MNIST,LR,Backdoor,0.1000,auto,0.8747,0.8670,0.0050,1.0,0.1000,0.6681,0.2629
MNIST,LR,Backdoor,0.1000,backdoor,0.8747,0.8670,0.0050,1.0,0.1000,0.6148,0.2735
MNIST,LR,Backdoor,0.1500,auto,0.8747,0.8637,0.0039,1.0,0.1500,0.2848,0.3380
MNIST,LR,Backdoor,0.1500,backdoor,0.8747,0.8637,0.0039,1.0,0.1500,0.5688,0.2812
MNIST,LR,Backdoor,0.2000,auto,0.8747,0.8600,0.0065,1.0,0.2000,0.3750,0.3183
MNIST,LR,Backdoor,0.2000,backdoor,0.8747,0.8600,0.0065,1.0,0.2000,0.2054,0.3522
MNIST,LR,Backdoor,0.2500,auto,0.8747,0.8506,0.0062,1.0,0.2500,0.5618,0.2766
MNIST,LR,Backdoor,0.2500,backdoor,0.8747,0.8506,0.0062,1.0,0.2500,0.5724,0.2745
MNIST,LR,Backdoor,0.3000,auto,0.8747,0.8432,0.0050,1.0,0.3000,0.7246,0.2407
MNIST,LR,Backdoor,0.3000,backdoor,0.8747,0.8432,0.0050,1.0,0.3000,0.4614,0.2933
