dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,asr_mean,asr_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
SMS_Spam,LR,Backdoor,0.25,auto,0.952646,0.020017,0.902098,0.038389,0.942857,0.038503,0.250168,0.0,1.0345,0.194329,5572,500
SMS_Spam,RF,Backdoor,0.25,auto,0.973274,0.004958,0.938134,0.012807,1.0,0.0,0.250168,0.0,0.1312,0.367664,5572,500
SMS_Spam,GB,Backdoor,0.25,auto,0.952287,0.005423,0.883235,0.017357,1.0,0.0,0.250168,0.0,0.049,0.377882,5572,500
SMS_Spam,LR,Backdoor,0.25,backdoor,0.952646,0.020017,0.902098,0.038389,0.942857,0.038503,0.250168,0.0,1.2412,0.152986,5572,500
SMS_Spam,RF,Backdoor,0.25,backdoor,0.973274,0.004958,0.938134,0.012807,1.0,0.0,0.250168,0.0,0.1279,0.368313,5572,500
SMS_Spam,GB,Backdoor,0.25,backdoor,0.952287,0.005423,0.883235,0.017357,1.0,0.0,0.250168,0.0,0.0995,0.367789,5572,500
SMS_Spam,LR,Backdoor,0.3,auto,0.952646,0.0225,0.901881,0.044093,0.96294,0.032941,0.300022,9e-05,1.2318,0.146726,5572,500
SMS_Spam,RF,Backdoor,0.3,auto,0.971839,0.007994,0.934112,0.020942,1.0,0.0,0.300022,9e-05,0.1091,0.370397,5572,500
SMS_Spam,GB,Backdoor,0.3,auto,0.949776,0.00788,0.875959,0.026275,1.0,0.0,0.300022,9e-05,-0.0024,0.384967,5572,500
SMS_Spam,LR,Backdoor,0.3,backdoor,0.952646,0.0225,0.901881,0.044093,0.96294,0.032941,0.300022,9e-05,0.7162,0.249854,5572,500
SMS_Spam,RF,Backdoor,0.3,backdoor,0.971839,0.007994,0.934112,0.020942,1.0,0.0,0.300022,9e-05,0.0664,0.378925,5572,500
SMS_Spam,GB,Backdoor,0.3,backdoor,0.949776,0.00788,0.875959,0.026275,1.0,0.0,0.300022,9e-05,0.0224,0.380011,5572,500
MNIST,LR,Backdoor,0.01,auto,0.87375,0.004089,0.873663,0.00411,1.0,0.0,0.01,0.0,0.4353,0.312481,8000,784
MNIST,RF,Backdoor,0.01,auto,0.96075,0.002693,0.960745,0.002692,0.091995,0.028915,0.01,0.0,0.7034,0.623416,8000,784
MNIST,GB,Backdoor,0.01,auto,0.917125,0.004213,0.917114,0.004217,0.867598,0.069175,0.01,0.0,0.167,0.417389,8000,784
MNIST,LR,Backdoor,0.01,backdoor,0.87375,0.004089,0.873663,0.00411,1.0,0.0,0.01,0.0,0.5445,0.290651,8000,784
MNIST,RF,Backdoor,0.01,backdoor,0.96075,0.002693,0.960745,0.002692,0.091995,0.028915,0.01,0.0,0.7116,0.621775,8000,784
MNIST,GB,Backdoor,0.01,backdoor,0.917125,0.004213,0.917114,0.004217,0.867598,0.069175,0.01,0.0,0.1111,0.428582,8000,784
MNIST,LR,Backdoor,0.05,auto,0.86925,0.003455,0.869134,0.003453,1.0,0.0,0.05,0.0,0.6674,0.263997,8000,784
MNIST,RF,Backdoor,0.05,auto,0.959,0.002698,0.958988,0.002698,0.804574,0.029477,0.05,0.0,0.63,0.35232,8000,784
MNIST,GB,Backdoor,0.05,auto,0.917,0.003097,0.916982,0.003094,0.998221,0.001525,0.05,0.0,0.0616,0.386167,8000,784
MNIST,LR,Backdoor,0.05,backdoor,0.86925,0.003455,0.869134,0.003453,1.0,0.0,0.05,0.0,0.2743,0.342603,8000,784
MNIST,RF,Backdoor,0.05,backdoor,0.959,0.002698,0.958988,0.002698,0.804574,0.029477,0.05,0.0,0.5856,0.361213,8000,784
MNIST,GB,Backdoor,0.05,backdoor,0.917,0.003097,0.916982,0.003094,0.998221,0.001525,0.05,0.0,0.1081,0.376876,8000,784
MNIST,LR,Backdoor,0.1,auto,0.867125,0.005025,0.867002,0.005045,1.0,0.0,0.1,0.0,0.6681,0.262872,8000,784
MNIST,RF,Backdoor,0.1,auto,0.958875,0.002574,0.958857,0.002575,0.95197,0.010673,0.1,0.0,0.5523,0.308855,8000,784
MNIST,GB,Backdoor,0.1,auto,0.9165,0.003368,0.91646,0.003376,0.999492,0.000622,0.1,0.0,-0.0208,0.401915,8000,784
MNIST,LR,Backdoor,0.1,backdoor,0.867125,0.005025,0.867002,0.005045,1.0,0.0,0.1,0.0,0.6148,0.273544,8000,784
MNIST,RF,Backdoor,0.1,backdoor,0.958875,0.002574,0.958857,0.002575,0.95197,0.010673,0.1,0.0,0.5585,0.307607,8000,784
MNIST,GB,Backdoor,0.1,backdoor,0.9165,0.003368,0.91646,0.003376,0.999492,0.000622,0.1,0.0,0.0025,0.397261,8000,784
MNIST,LR,Backdoor,0.15,auto,0.863875,0.003881,0.863676,0.003931,1.0,0.0,0.15,0.0,0.2848,0.33801,8000,784
MNIST,RF,Backdoor,0.15,auto,0.956625,0.004341,0.956593,0.004346,0.976112,0.01046,0.15,0.0,0.4973,0.30925,8000,784
MNIST,GB,Backdoor,0.15,auto,0.91575,0.002721,0.915678,0.002713,1.0,0.0,0.15,0.0,-0.0615,0.409501,8000,784
MNIST,LR,Backdoor,0.15,backdoor,0.863875,0.003881,0.863676,0.003931,1.0,0.0,0.15,0.0,0.5688,0.281219,8000,784
MNIST,RF,Backdoor,0.15,backdoor,0.956625,0.004341,0.956593,0.004346,0.976112,0.01046,0.15,0.0,0.5005,0.3086,8000,784
MNIST,GB,Backdoor,0.15,backdoor,0.91575,0.002721,0.915678,0.002713,1.0,0.0,0.15,0.0,-0.0398,0.405168,8000,784
MNIST,LR,Backdoor,0.2,auto,0.86025,0.006418,0.860006,0.0065,1.0,0.0,0.2,0.0,0.375,0.318301,8000,784
MNIST,RF,Backdoor,0.2,auto,0.952125,0.003593,0.952076,0.003601,0.988818,0.007339,0.2,0.0,0.4844,0.304871,8000,784
MNIST,GB,Backdoor,0.2,auto,0.91575,0.007535,0.915672,0.007523,0.999746,0.000508,0.2,0.0,-0.1141,0.420124,8000,784
MNIST,LR,Backdoor,0.2,backdoor,0.86025,0.006418,0.860006,0.0065,1.0,0.0,0.2,0.0,0.2054,0.352215,8000,784
MNIST,RF,Backdoor,0.2,backdoor,0.952125,0.003593,0.952076,0.003601,0.988818,0.007339,0.2,0.0,0.4501,0.311716,8000,784
MNIST,GB,Backdoor,0.2,backdoor,0.91575,0.007535,0.915672,0.007523,0.999746,0.000508,0.2,0.0,-0.1458,0.426476,8000,784
MNIST,LR,Backdoor,0.25,auto,0.851,0.006106,0.850566,0.006213,1.0,0.0,0.25,0.0,0.5618,0.276624,8000,784
MNIST,RF,Backdoor,0.25,auto,0.945875,0.00425,0.945777,0.004273,0.99695,0.004066,0.25,0.0,0.3528,0.325291,8000,784
MNIST,GB,Backdoor,0.25,auto,0.905625,0.006789,0.905473,0.006806,1.0,0.0,0.25,0.0,-0.173,0.427377,8000,784
MNIST,LR,Backdoor,0.25,backdoor,0.851,0.006106,0.850566,0.006213,1.0,0.0,0.25,0.0,0.5724,0.274495,8000,784
MNIST,RF,Backdoor,0.25,backdoor,0.945875,0.00425,0.945777,0.004273,0.99695,0.004066,0.25,0.0,0.358,0.324261,8000,784
MNIST,GB,Backdoor,0.25,backdoor,0.905625,0.006789,0.905473,0.006806,1.0,0.0,0.25,0.0,-0.1624,0.425263,8000,784
MNIST,LR,Backdoor,0.3,auto,0.843875,0.004815,0.843178,0.005021,1.0,0.0,0.3,0.0,0.7246,0.240677,8000,784
MNIST,RF,Backdoor,0.3,auto,0.930375,0.00264,0.930116,0.00265,0.996442,0.003718,0.3,0.0,0.4799,0.293551,8000,784
MNIST,GB,Backdoor,0.3,auto,0.89975,0.005514,0.899468,0.005546,1.0,0.0,0.3,0.0,-0.2183,0.433843,8000,784
MNIST,LR,Backdoor,0.3,backdoor,0.843875,0.004815,0.843178,0.005021,1.0,0.0,0.3,0.0,0.4614,0.293322,8000,784
MNIST,RF,Backdoor,0.3,backdoor,0.930375,0.00264,0.930116,0.00265,0.996442,0.003718,0.3,0.0,0.3069,0.328143,8000,784
MNIST,GB,Backdoor,0.3,backdoor,0.89975,0.005514,0.899468,0.005546,1.0,0.0,0.3,0.0,-0.2081,0.431794,8000,784
