dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
Adult,GB,Targeted_LF,0.25,auto,0.8407,0.004892,0.795069,0.007042,0.25,0.0,4.1347,-0.020429,20000,14
Adult,LR,Targeted_LF,0.25,lf,0.78635,0.006541,0.733746,0.008431,0.25,0.0,49.4285,-9.079866,20000,14
Adult,RF,Targeted_LF,0.25,lf,0.79525,0.005908,0.747485,0.006908,0.25,0.0,2.2525,0.326728,20000,14
Adult,GB,Targeted_LF,0.25,lf,0.8407,0.004892,0.795069,0.007042,0.25,0.0,3.308,0.14491,20000,14
Adult,LR,Targeted_LF,0.3,auto,0.7519,0.004221,0.71325,0.004982,0.3,0.0,125.0784,-24.22119,20000,14
Adult,RF,Targeted_LF,0.3,auto,0.7533,0.007184,0.712836,0.007955,0.3,0.0,1.306,0.49853,20000,14
Adult,GB,Targeted_LF,0.3,auto,0.81235,0.005794,0.774282,0.005794,0.3,0.0,4.5616,-0.116455,20000,14
Adult,LR,Targeted_LF,0.3,lf,0.7519,0.004221,0.71325,0.004982,0.3,0.0,69.4017,-13.085836,20000,14
Adult,RF,Targeted_LF,0.3,lf,0.7533,0.007184,0.712836,0.007955,0.3,0.0,1.5391,0.451924,20000,14
Adult,GB,Targeted_LF,0.3,lf,0.81235,0.005794,0.774282,0.005794,0.3,0.0,4.2482,-0.05377,20000,14
SMS_Spam,LR,Random_LF,0.01,auto,0.960179,0.003913,0.915833,0.006776,0.010096,0.0,0.9,0.604127,5572,500
SMS_Spam,RF,Random_LF,0.01,auto,0.979552,0.002433,0.95343,0.005622,0.010096,0.0,0.2302,0.754281,5572,500
SMS_Spam,GB,Random_LF,0.01,auto,0.962511,0.005054,0.910471,0.013098,0.010096,0.0,0.3443,0.73078,5572,500
SMS_Spam,LR,Random_LF,0.01,lf,0.960179,0.003913,0.915833,0.006776,0.010096,0.0,0.8616,0.611807,5572,500
SMS_Spam,RF,Random_LF,0.01,lf,0.979552,0.002433,0.95343,0.005622,0.010096,0.0,0.1875,0.762823,5572,500
SMS_Spam,GB,Random_LF,0.01,lf,0.962511,0.005054,0.910471,0.013098,0.010096,0.0,0.5197,0.695693,5572,500
SMS_Spam,LR,Random_LF,0.05,auto,0.95139,0.005118,0.896589,0.011093,0.050079,9e-05,1.1481,0.546422,5572,500
SMS_Spam,RF,Random_LF,0.05,auto,0.972197,0.003971,0.936846,0.009718,0.050079,9e-05,0.0717,0.779021,5572,500
SMS_Spam,GB,Random_LF,0.05,auto,0.958924,0.004445,0.90143,0.012562,0.050079,9e-05,0.2912,0.737426,5572,500
